標誌,ID,人物,位置,內容,跳轉,效果,目標
#,0,小精靈,左,看來守護者大人您已經能夠自由的操控這個身體了，接下來還請您獨自離開山洞，我將在此等候族人進行回報作業，期望您趕緊恢復這個世界的秩序！,1,,
#,1,,,在小精靈交代完事情後，剛學會操控身體的守護者，感受到了虛弱的身體所帶來的空虛感，而眼前這個身為能量體的小精靈，似乎能夠為自己回復一些力量......,2,,
#,2,,,請玩家做出選擇,3,,
#,3,,,,4,,
&,4,,,吸收小精靈,6,消失,小精靈
&,5,,,不吸收小精靈,8,,
#,6,守護者,右,(感覺我對這個新身體的控制更加上手了),7,,
#,7,,,失去了小精靈的照明，在這昏暗的洞穴中似乎變得更加難以看清周遭......,9,,
#,8,守護者,右,(它剛才告訴了我這麼多的信息，而且我還得憑藉小精靈散發出的光來離開山洞。),9,,
#,9,,,請玩家使用滑鼠點擊畫面中的金幣。,10,,
#,10,,,拾取到的物品將會收集至右上方的背包內，玩家可打開背包點擊已蒐集到的物品，查看詳細說明或是使用方式。,11,,
#,11,,,接下來請找出山洞內有作用的物品吧！(提示：金幣、山洞通行證、謎樣金屬徽章),12,,
END,12,,,,,,
