標誌,ID,人物,位置,內容,跳轉,效果,目標
#,0,貝爾,左,啊......但是我沒有你們人類能穿的衣服......怎麼辦才好？你現在感覺怎樣？會不會不舒服？,1,,
#,1,守護者,,沒事的，我沒有感到不適，至於衣物的部分，我可以坐在壁爐旁邊取暖時，一起烘乾即可。,2,,
#,2,貝爾,左,嘿嘿！阿守你吃看看這個！這個是你們人族的甜點喔！好像叫做......單糕？有蜂蜜甜甜的味道，我很喜歡吃，常常會跑去跟鳥人商買呢！,3,,
#,3,守護者,右,(這個蜂蜜口味的單糕？確實很好吃，但鳥人商是甚麼？跟鳥人族有關嗎？),4,,
#,4,守護者,右,謝謝你貝爾，單糕確實和你說的一樣很好吃。是從你剛剛提到的那個，鳥人商？那裡買的嗎？之後有機會我也想去買。,5,,
#,5,貝爾,左,對啊對啊！鳥人商很厲害啊！那裡什麼都有喔！他們說只有買家不需要的，絕對沒有買不到的東西呢！,6,,
#,6,貝爾,左,像是有些亮晶晶的寶石、傳說中鮫人淚，還有還有！甚至在他們那邊能購買到精靈族的花瓣葉子呢！,7,,
#,7,貝爾,左,我之前還聽說呀......只要給的錢夠多，還可以......可以幫你找對象呢......,8,,
#,8,守護者,右,......，看來鳥人牠們在各族之間都有一定的人脈，看來勢力不一般呢，說不定是個棘手的種族......還是等收回多一點力量後再去接觸比較保險。,9,,
#,9,貝爾,左,阿守？,10,,
#,10,貝爾,左,阿守！你有在聽我說話嗎？,11,,
#,11,守護者,右,嗯，有的，只是單糕很好吃，所以有點停不下口。,12,,
#,12,貝爾,左,我也很喜歡，嘿嘿！你還要嗎？再給你一點啊！,13,,
#,13,守護者,右,.......謝謝你的好意，貝爾。但我想我已經吃不太下了，所以......,14,,
#,14,守護者,右,貝爾，說起來，我在旅行來這裡的的路上撿到了一個東西，看起來跟你身上的那個裝飾物很像，你認識嗎？,15,,
#,15,貝爾,左,這是戰爭派那裡的身份令牌！上面的圖案是一個狐狸種！阿守你路上沒遇到長的像狐狸的獸人吧？,16,,
#,16,貝爾,左,戰爭派的大家都很討厭人類的！如果遇到了要快跑！或者躲起來！不然阿守你可能會被打的！,17,,
#,17,守護者,右,原來如此，放心吧貝爾，你是我出門後遇到的第一個獸人，而這個令牌只是在我旅行的路上撿到的，當時看到路旁有東西在發光,18,,
#,18,守護者,右,好奇心驅使之下才將它撿起，留作紀念罷了。不過你剛剛提到的戰爭派？那是甚麼？,19,,
#,19,貝爾,左,诶？原來阿守你不知道！？那你知不知道守護者的力量被分離了？,20,,
#,20,守護者,右,.......嗯，關於這件事我有聽說過。,21,,
#,21,貝爾,左,這樣呀，我跟你說喔，我們獸人族內部有些種族想要變強，就四處去找人打架,22,,
#,22,貝爾,左,想要拿到更多守護者大人的力量，那群到別的的種族打架的獸人就被大家稱為了戰爭派。,23,,
#,23,貝爾,左,然後我們這些討厭打架的獸人就決定要跟戰爭派他們分開住了，大陸上的種族為了區分我們，都叫我們和平派！,24,,
#,24,貝爾,左,阿守你放心和平派的大家都很友善的，你看我們為了方便辨認，把令牌磨的圓圓的,25,,
#,25,貝爾,左,而戰爭派他們的令牌就維持原本尖尖角角的樣子，如果你之後遠遠看到有獸人掛著那樣的令牌，要小心一點，最好躲得遠遠的，千萬不要被發現了！,26,,
#,26,守護者,右,謝謝你告訴我這麼重要的事，其實接下來我打算去其他地方旅行，你剛才說的這些事對我有很大的幫助。,27,,
#,27,貝爾,左,沒有啦......這些事情其實很多人都知道的，我沒有你說的那麼厲害啦嘿嘿，而且我們是朋友了嘛！幫助朋友是應該的啊！嘿嘿嘿,28,,
#,28,守護者,右,......朋友。,29,,
#,29,守護者,右,我們現在是......朋友？謝謝你貝爾，你是我的第一個朋友。,30,,
#,30,貝爾,左,第一個朋友！哇！阿守我好開心啊！我是第一個朋友耶！,31,,
#,31,貝爾,左,阿守你要繼續旅行的話可以去和平派玩啊！我寫個信給萊恩！告訴他你是我的朋友！這樣你去村裡的時候，就可以跟其他獸人一起玩啦！,32,,
#,32,守護者,右,萊恩是？,33,,
#,33,貝爾,左,萊恩是我們族群裡很厲害的獅子種獸人喔！大家有任何問題都會先去找他幫忙！,34,,
#,34,守護者,右,(原來如此.....類似和平派領導者身份的獸人嗎？),35,,
#,35,守護者,右,謝謝你貝爾......我的朋友。你的招待讓我得到了很好的休息.......,36,,
END,36,,,,,,
