標誌,ID,人物,位置,內容,跳轉,效果,目標
#,0,守護者,右,(小木屋前面是......獸人族的棕熊？該不會跟那隻狐狸是一夥的吧？可這附近也沒有其他地方能躲雨了......),1,,
#,1,,,請玩家做出選擇,2,,
&,2,,,另覓他處,4,,
&,3,,,裝作路過上前詢問,8,,
#,4,守護者,右,(以防萬一，還是找別的地方躲雨好了，萬一他真的跟那隻狐狸是同夥就糟了。),5,,
#,5,棕熊,左,等等！等等！那位人類！,6,,
#,6,守護者,右,(糟糕！被發現了，現在逃跑反而更加可疑。),7,,
#,7,守護者,右,請問有甚麼事嗎？,10,,
#,8,守護者,右,(不管了，還是先躲雨比較重要，裝作是迷路的旅人上前搭訕好了......),9,,
#,9,棕熊,左,你好！你好！這位人類，請問你是在找避雨的地方嗎？,10,,
#,10,棕熊,左,那個，不瞞你說，其實我是這間房子的主人，但我出門的時候不小心弄掉了鑰匙！結果我現在進不了家門了.....,11,,
#,11,棕熊,左,鑰匙就掉在這附近！但我找不到它......你能幫幫我一起找嗎？你看現在也在下大雨，找到後你還能夠進來避雨，休息一下呀！,12,,
#,12,棕熊,左,我家裡還有一些好吃的食物，我們可以一起吃啊！,13,,
#,13,守護者,右,(這隻棕熊是真糊塗？還是看我好騙，胡扯一通？),14,,
#,14,,,請玩家做出選擇,15,,
&,15,,,拒絕,17,,
&,16,,,答應,25,,
#,17,守護者,右,......抱歉，我覺得我可能幫不上忙，所以請你自己努力一下吧。,18,,
#,18,守護者,右,(先拒絕他的要求好了，如果他真的圖謀不軌，等一下應該會有所動作才是。),19,,
#,19,棕熊,左,不要拒絕我嘛！幫我一下啦！拜託你幫幫我好不好？,20,,
#,20,棕熊,左,我已經找了好久好久了，怎麼找都找不到鑰匙，再這樣下去就真的回不了家了！嗚嗚嗚......,21,,
#,21,棕熊,左,求求你幫幫我嘛！我有很多甜甜的蜂蜜跟好吃的果子，我們等一下一起在裡面吃呀！,22,,
#,22,棕熊,左,拜託幫幫我，好不好啦？,23,,
#,23,守護者,右,(這棕熊感覺起來似乎真的不是甚麼壞傢夥，看他那麼可憐還是幫幫牠好了。),24,,
#,24,守護者,右,......好吧，我答應幫你一起找鑰匙。,29,,
#,25,守護者,右,......好吧，我答應你。,26,,
#,26,守護者,右,(這棕熊感覺起來似乎真的不是甚麼壞傢夥，看他那麼可憐還是幫幫牠好了。),27,,
#,27,棕熊,左,太好啦！你可真是個友善的人類啊！我還以為你們人類都很討厭我們獸人呢！你真好！,28,,
#,28,棕熊,左,我家有很多甜甜香香的蜂蜜喔！還有好吃的果子！我們找到鑰匙之後一起吃吧！,29,,
#,29,守護者,右,(雖然現在的我還不夠強大，但要跟一隻熊抗衡的能力還是有的，看看進屋後能不能曾他口中得知一些獸人族相關信息，或是其他有用的資料，總之先走一步算一步吧。),30,,
END,30,,,,,,
